input_curvature,geometry,edge_weight_variance,mi_stats,distance_stats,gromov_delta_range,mean_distance_range,filename
3.0,hyperbolic,,"{'mean_mi': np.float64(0.10000000000000002), 'std_mi': np.float64(1.3877787807814457e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(1.925929944387236e-34)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n3_geomH_curv3_ibm_brisbane_1LIOWM.json
3.0,hyperbolic,,"{'mean_mi': np.float64(0.10000000000000002), 'std_mi': np.float64(1.3877787807814457e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(1.925929944387236e-34)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n3_geomH_curv3_ibm_brisbane_2PYYBE.json
3.0,hyperbolic,,"{'mean_mi': np.float64(0.10000000000000002), 'std_mi': np.float64(1.3877787807814457e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(1.925929944387236e-34)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n3_geomH_curv3_ibm_brisbane_8YOIYA.json
3.0,hyperbolic,,"{'mean_mi': np.float64(0.10000000000000002), 'std_mi': np.float64(1.3877787807814457e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(1.925929944387236e-34)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n3_geomH_curv3_ibm_brisbane_BYOK2P.json
3.0,hyperbolic,,"{'mean_mi': np.float64(0.10000000000000002), 'std_mi': np.float64(1.3877787807814457e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(1.925929944387236e-34)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n3_geomH_curv3_ibm_brisbane_H7NAXF.json
3.0,hyperbolic,,"{'mean_mi': np.float64(0.10000000000000002), 'std_mi': np.float64(1.3877787807814457e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(1.925929944387236e-34)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n3_geomH_curv3_ibm_brisbane_IWQ7M1.json
3.0,hyperbolic,,"{'mean_mi': np.float64(0.8369201265808606), 'std_mi': np.float64(2.460089888041177e-15), 'max_mi': np.float64(0.8369201265808623), 'min_mi': np.float64(0.8369201265808571), 'mi_range': np.float64(5.218048215738236e-15), 'mi_variance': np.float64(6.05204225724245e-30)}","{'mean_distance': np.float64(0.17802664126502843), 'std_distance': np.float64(2.9439233600320783e-15), 'max_distance': np.float64(0.1780266412650326), 'min_distance': np.float64(0.17802664126502635), 'distance_range': np.float64(6.2450045135165055e-15), 'distance_variance': np.float64(8.666684749742561e-30)}",[],[],results_n3_geomH_curv3_simulator_EIIZZY.json
3.0,hyperbolic,,"{'mean_mi': np.float64(0.007081977878107259), 'std_mi': np.float64(0.00642033563560791), 'max_mi': np.float64(0.019077918605384138), 'min_mi': np.float64(0.0006146824470596359), 'mi_range': np.float64(0.0184632361583245), 'mi_variance': np.float64(4.122070967385683e-05)}","{'mean_distance': np.float64(6.539937630445656), 'std_distance': np.float64(2.145874220198566), 'max_distance': np.float64(10.649441314286733), 'min_distance': np.float64(3.959223706680627), 'distance_range': np.float64(6.690217607606106), 'distance_variance': np.float64(4.604776168912804)}",[],[],results_n4_geomH_curv3_ibm_brisbane_QA9AQE.json
10.0,hyperbolic,,{},"{'mean_distance': np.float64(3.684136148790472), 'std_distance': np.float64(1.128031713434873), 'max_distance': np.float64(4.605170185988091), 'min_distance': np.float64(2.3025850929940455), 'distance_range': np.float64(2.3025850929940455), 'distance_variance': np.float64(1.2724555465148155)}",[],[],results_n5_geomH_curv100_ibm_3FQ2KC.json
10.0,hyperbolic,,{},"{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n5_geomH_curv100_ibm_4K9SOI.json
10.0,hyperbolic,,"{'mean_mi': np.float64(0.10000000000000003), 'std_mi': np.float64(2.7755575615628914e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(7.703719777548943e-34)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n5_geomH_curv100_ibm_UA4KJC.json
1.0,hyperbolic,,"{'mean_mi': np.float64(0.2827009294967257), 'std_mi': np.float64(0.23496250404710928), 'max_mi': np.float64(0.9480774250543582), 'min_mi': np.float64(0.06635653836426447), 'mi_range': np.float64(0.8817208866900937), 'mi_variance': np.float64(0.05520737830808784)}","{'mean_distance': np.float64(1.7367665157337577), 'std_distance': np.float64(0.7729249430364907), 'max_distance': np.float64(2.7463065270626794), 'min_distance': np.float64(0.5174017920188225), 'distance_range': np.float64(2.228904735043857), 'distance_variance': np.float64(0.5974129675679625)}",[],[],results_n5_geomH_curv1_simulator_N1LBWY.json
3.0,hyperbolic,,"{'mean_mi': np.float64(0.1), 'std_mi': np.float64(0.0), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(0.0)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n5_geomH_curv3_ibm_brisbane_R7K50J.json
3.0,hyperbolic,,"{'mean_mi': np.float64(0.23736788530673314), 'std_mi': np.float64(0.22661828401481052), 'max_mi': np.float64(0.6874916525280543), 'min_mi': np.float64(1.0438408766688667e-05), 'mi_range': np.float64(0.6874812141192876), 'mi_variance': np.float64(0.05135584664981733)}","{'mean_distance': np.float64(1.8826324303932414), 'std_distance': np.float64(1.0572910101342425), 'max_distance': np.float64(3.1677653961510845), 'min_distance': np.float64(0.3747055912924982), 'distance_range': np.float64(2.7930598048585864), 'distance_variance': np.float64(1.117864280110687)}",[],[],results_n5_geomH_curv3_simulator_50Z70Q.json
3.0,hyperbolic,,"{'mean_mi': np.float64(0.21669449509680336), 'std_mi': np.float64(0.19628511223352224), 'max_mi': np.float64(0.6874916525280543), 'min_mi': np.float64(1.0438408766688667e-05), 'mi_range': np.float64(0.6874812141192876), 'mi_variance': np.float64(0.03852784528452642)}","{'mean_distance': np.float64(1.8826324303932414), 'std_distance': np.float64(1.0572910101342425), 'max_distance': np.float64(3.1677653961510845), 'min_distance': np.float64(0.3747055912924982), 'distance_range': np.float64(2.7930598048585864), 'distance_variance': np.float64(1.117864280110687)}",[],[],results_n5_geomH_curv3_simulator_8VTYQA.json
5.0,hyperbolic,,"{'mean_mi': np.float64(0.38814919640815326), 'std_mi': np.float64(0.12462612885856768), 'max_mi': np.float64(0.6489605874928821), 'min_mi': np.float64(0.2171825648745731), 'mi_range': np.float64(0.431778022618309), 'mi_variance': np.float64(0.015531671994272314)}","{'mean_distance': np.float64(1.0794047497343497), 'std_distance': np.float64(0.4668224920680859), 'max_distance': np.float64(1.9342214620111766), 'min_distance': np.float64(0.43238329217618077), 'distance_range': np.float64(1.5018381698349959), 'distance_variance': np.float64(0.2179232391006581)}",[],[],results_n5_geomH_curv5_simulator_4XLDWS.json
5.0,hyperbolic,,"{'mean_mi': np.float64(0.38814919640815326), 'std_mi': np.float64(0.12462612885856768), 'max_mi': np.float64(0.6489605874928821), 'min_mi': np.float64(0.2171825648745731), 'mi_range': np.float64(0.431778022618309), 'mi_variance': np.float64(0.015531671994272314)}","{'mean_distance': np.float64(1.0794047497343497), 'std_distance': np.float64(0.4668224920680859), 'max_distance': np.float64(1.9342214620111766), 'min_distance': np.float64(0.43238329217618077), 'distance_range': np.float64(1.5018381698349959), 'distance_variance': np.float64(0.2179232391006581)}",[],[],results_n5_geomH_curv5_simulator_K85LEU.json
5.0,hyperbolic,,"{'mean_mi': np.float64(0.38814919640815326), 'std_mi': np.float64(0.12462612885856768), 'max_mi': np.float64(0.6489605874928821), 'min_mi': np.float64(0.2171825648745731), 'mi_range': np.float64(0.431778022618309), 'mi_variance': np.float64(0.015531671994272314)}","{'mean_distance': np.float64(1.0794047497343497), 'std_distance': np.float64(0.4668224920680859), 'max_distance': np.float64(1.9342214620111766), 'min_distance': np.float64(0.43238329217618077), 'distance_range': np.float64(1.5018381698349959), 'distance_variance': np.float64(0.2179232391006581)}",[],[],results_n5_geomH_curv5_simulator_OEMJUF.json
1.0,euclidean,,"{'mean_mi': np.float64(0.0), 'std_mi': np.float64(0.0), 'max_mi': np.float64(0.0), 'min_mi': np.float64(0.0), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(0.0)}","{'mean_distance': np.float64(26.31525820564623), 'std_distance': np.float64(8.057369381677665), 'max_distance': np.float64(46.051701859880914), 'min_distance': np.float64(23.025850929940457), 'distance_range': np.float64(23.025850929940457), 'distance_variance': np.float64(64.92120135279671)}",[],[],results_n7_geomE_curv10_ibm_37OW76.json
0.5,hyperbolic,,"{'mean_mi': np.float64(0.0), 'std_mi': np.float64(0.0), 'max_mi': np.float64(0.0), 'min_mi': np.float64(0.0), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(0.0)}","{'mean_distance': np.float64(26.31525820564623), 'std_distance': np.float64(8.057369381677665), 'max_distance': np.float64(46.051701859880914), 'min_distance': np.float64(23.025850929940457), 'distance_range': np.float64(23.025850929940457), 'distance_variance': np.float64(64.92120135279671)}",[],[],results_n7_geomH_curv05_ibm_24S9YO.json
0.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv05_ibm_5PBIAW.json
0.5,hyperbolic,,"{'mean_mi': np.float64(0.0020039713082549036), 'std_mi': np.float64(0.009406249337355177), 'max_mi': np.float64(0.07209424656477223), 'min_mi': np.float64(2.623428912175679e-08), 'mi_range': np.float64(0.07209422033048311), 'mi_variance': np.float64(8.847752659649471e-05)}","{'mean_distance': np.float64(8.784896267362551), 'std_distance': np.float64(3.1717225625643657), 'max_distance': np.float64(14.688282252804145), 'min_distance': np.float64(2.6297810358673264), 'distance_range': np.float64(12.058501216936818), 'distance_variance': np.float64(10.059824013879867)}",[],[],results_n7_geomH_curv05_ibm_60JXA8.json
0.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv05_ibm_A813WJ.json
0.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv05_ibm_A9WL9J.json
0.5,hyperbolic,,{},{},[],[],results_n7_geomH_curv05_ibm_NZZ5N2.json
10.0,hyperbolic,,"{'mean_mi': np.float64(0.08704092338837058), 'std_mi': np.float64(0.18168362163182025), 'max_mi': np.float64(1.0432628012090173), 'min_mi': np.float64(7.059892878302776e-06), 'mi_range': np.float64(1.043255741316139), 'mi_variance': np.float64(0.03300893836925442)}","{'mean_distance': np.float64(4.90985096800929), 'std_distance': np.float64(2.2491716115084595), 'max_distance': np.float64(8.6595009747948), 'min_distance': np.float64(0.10774936423712006), 'distance_range': np.float64(8.55175161055768), 'distance_variance': np.float64(5.05877293801556)}",[],[],results_n7_geomH_curv100_sim_1DXRKY.json
10.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv100_sim_6VQD8L.json
10.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv100_sim_HDTHKM.json
10.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv100_sim_U2X8IM.json
1.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv10_ibm_6U9DD0.json
1.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv10_ibm_J8HO4H.json
1.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv10_ibm_SG1N7V.json
1.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv10_ibm_TIRQVW.json
11.0,hyperbolic,,{},"{'mean_distance': np.float64(7.3009798530660115), 'std_distance': np.float64(2.395092876560993), 'max_distance': np.float64(10.955184374544723), 'min_distance': np.float64(4.440763002158989), 'distance_range': np.float64(6.514421372385734), 'distance_variance': np.float64(5.736469887353214)}",[],[],results_n7_geomH_curv11_ibm_brisbane_AJI0Y6.json
11.0,hyperbolic,,{},"{'mean_distance': np.float64(8.431911534373652), 'std_distance': np.float64(1.2519042482700997), 'max_distance': np.float64(11.344540901656767), 'min_distance': np.float64(6.589701486061217), 'distance_range': np.float64(4.7548394155955505), 'distance_variance': np.float64(1.5672642468367233)}",[],[],results_n7_geomH_curv11_ibm_brisbane_BKIKAQ.json
11.0,hyperbolic,,"{'mean_mi': np.float64(0.09999999999999998), 'std_mi': np.float64(2.7755575615628914e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(7.703719777548943e-34)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n7_geomH_curv11_ibm_brisbane_NFG1GW.json
11.0,hyperbolic,,{},"{'mean_distance': np.float64(7.800165763007512), 'std_distance': np.float64(1.8042887059858501), 'max_distance': np.float64(12.199466846589145), 'min_distance': np.float64(5.108890301276297), 'distance_range': np.float64(7.090576545312848), 'distance_variance': np.float64(3.2554577345480933)}",[],[],results_n7_geomH_curv11_ibm_brisbane_NWHEWI.json
11.0,hyperbolic,,"{'mean_mi': np.float64(0.09999999999999998), 'std_mi': np.float64(2.7755575615628914e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(7.703719777548943e-34)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n7_geomH_curv11_ibm_brisbane_P106NG.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_ibm_brisbane_2LY1M6.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_ibm_brisbane_AO6PDR.json
