path_label,mode,theta_static,theta_dynamic,phi_phase,entropy,timestamp
SWEEP_00,dynamic,0.0,0.0,0.0,0.0,2025-05-02 16:39:24
SWEEP_01,dynamic,0.0,0.0,0.19634954084936207,0.0,2025-05-02 16:39:24
SWEEP_02,dynamic,0.0,0.0,0.39269908169872414,0.0,2025-05-02 16:39:24
SWEEP_03,dynamic,0.0,0.0,0.7853981633974483,0.0,2025-05-02 16:39:24
SWEEP_04,dynamic,0.0,0.39269908169872414,0.0,0.233326628650935,2025-05-02 16:39:24
SWEEP_05,dynamic,0.0,0.39269908169872414,0.19634954084936207,0.233326628650935,2025-05-02 16:39:24
SWEEP_06,dynamic,0.0,0.39269908169872414,0.39269908169872414,0.23332662865093515,2025-05-02 16:39:24
SWEEP_07,dynamic,0.0,0.39269908169872414,0.7853981633974483,0.23332662865093515,2025-05-02 16:39:24
SWEEP_08,dynamic,0.0,0.7853981633974483,0.0,0.6008760366928562,2025-05-02 16:39:24
SWEEP_09,dynamic,0.0,0.7853981633974483,0.19634954084936207,0.600876036692856,2025-05-02 16:39:24
SWEEP_10,dynamic,0.0,0.7853981633974483,0.39269908169872414,0.6008760366928562,2025-05-02 16:39:24
SWEEP_11,dynamic,0.0,0.7853981633974483,0.7853981633974483,0.6008760366928562,2025-05-02 16:39:24
SWEEP_12,dynamic,0.0,1.5707963267948966,0.0,0.9999999999999999,2025-05-02 16:39:24
SWEEP_13,dynamic,0.0,1.5707963267948966,0.19634954084936207,0.9999999999999999,2025-05-02 16:39:24
SWEEP_14,dynamic,0.0,1.5707963267948966,0.39269908169872414,1.0,2025-05-02 16:39:24
SWEEP_15,dynamic,0.0,1.5707963267948966,0.7853981633974483,1.0,2025-05-02 16:39:24
SWEEP_16,dynamic,0.39269908169872414,0.0,0.0,0.233326628650935,2025-05-02 16:39:24
SWEEP_17,dynamic,0.39269908169872414,0.0,0.19634954084936207,0.233326628650935,2025-05-02 16:39:24
SWEEP_18,dynamic,0.39269908169872414,0.0,0.39269908169872414,0.23332662865093515,2025-05-02 16:39:24
SWEEP_19,dynamic,0.39269908169872414,0.0,0.7853981633974483,0.23332662865093515,2025-05-02 16:39:24
SWEEP_20,dynamic,0.39269908169872414,0.39269908169872414,0.0,0.3778388650262935,2025-05-02 16:39:24
SWEEP_21,dynamic,0.39269908169872414,0.39269908169872414,0.19634954084936207,0.3778388650262932,2025-05-02 16:39:24
SWEEP_22,dynamic,0.39269908169872414,0.39269908169872414,0.39269908169872414,0.37783886502629327,2025-05-02 16:39:24
SWEEP_23,dynamic,0.39269908169872414,0.39269908169872414,0.7853981633974483,0.3778388650262934,2025-05-02 16:39:24
SWEEP_24,dynamic,0.39269908169872414,0.7853981633974483,0.0,0.6653319490298052,2025-05-02 16:39:24
SWEEP_25,dynamic,0.39269908169872414,0.7853981633974483,0.19634954084936207,0.6653319490298052,2025-05-02 16:39:24
SWEEP_26,dynamic,0.39269908169872414,0.7853981633974483,0.39269908169872414,0.6653319490298054,2025-05-02 16:39:24
SWEEP_27,dynamic,0.39269908169872414,0.7853981633974483,0.7853981633974483,0.6653319490298052,2025-05-02 16:39:24
SWEEP_28,dynamic,0.39269908169872414,1.5707963267948966,0.0,1.0,2025-05-02 16:39:24
SWEEP_29,dynamic,0.39269908169872414,1.5707963267948966,0.19634954084936207,0.9999999999999999,2025-05-02 16:39:24
SWEEP_30,dynamic,0.39269908169872414,1.5707963267948966,0.39269908169872414,1.0,2025-05-02 16:39:24
SWEEP_31,dynamic,0.39269908169872414,1.5707963267948966,0.7853981633974483,0.9999999999999999,2025-05-02 16:39:24
SWEEP_32,dynamic,0.7853981633974483,0.0,0.0,0.6008760366928562,2025-05-02 16:39:24
SWEEP_33,dynamic,0.7853981633974483,0.0,0.19634954084936207,0.600876036692856,2025-05-02 16:39:24
SWEEP_34,dynamic,0.7853981633974483,0.0,0.39269908169872414,0.6008760366928562,2025-05-02 16:39:24
SWEEP_35,dynamic,0.7853981633974483,0.0,0.7853981633974483,0.6008760366928562,2025-05-02 16:39:24
SWEEP_36,dynamic,0.7853981633974483,0.39269908169872414,0.0,0.6653319490298052,2025-05-02 16:39:24
SWEEP_37,dynamic,0.7853981633974483,0.39269908169872414,0.19634954084936207,0.6653319490298052,2025-05-02 16:39:24
SWEEP_38,dynamic,0.7853981633974483,0.39269908169872414,0.39269908169872414,0.6653319490298054,2025-05-02 16:39:24
SWEEP_39,dynamic,0.7853981633974483,0.39269908169872414,0.7853981633974483,0.6653319490298052,2025-05-02 16:39:24
SWEEP_40,dynamic,0.7853981633974483,0.7853981633974483,0.0,0.8112781244591328,2025-05-02 16:39:24
SWEEP_41,dynamic,0.7853981633974483,0.7853981633974483,0.19634954084936207,0.8112781244591328,2025-05-02 16:39:24
SWEEP_42,dynamic,0.7853981633974483,0.7853981633974483,0.39269908169872414,0.8112781244591328,2025-05-02 16:39:24
SWEEP_43,dynamic,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.8112781244591327,2025-05-02 16:39:24
SWEEP_44,dynamic,0.7853981633974483,1.5707963267948966,0.0,1.0,2025-05-02 16:39:24
SWEEP_45,dynamic,0.7853981633974483,1.5707963267948966,0.19634954084936207,1.0,2025-05-02 16:39:24
SWEEP_46,dynamic,0.7853981633974483,1.5707963267948966,0.39269908169872414,1.0,2025-05-02 16:39:24
SWEEP_47,dynamic,0.7853981633974483,1.5707963267948966,0.7853981633974483,1.0,2025-05-02 16:39:24
SWEEP_48,dynamic,1.5707963267948966,0.0,0.0,0.9999999999999999,2025-05-02 16:39:24
SWEEP_49,dynamic,1.5707963267948966,0.0,0.19634954084936207,0.9999999999999999,2025-05-02 16:39:24
SWEEP_50,dynamic,1.5707963267948966,0.0,0.39269908169872414,1.0,2025-05-02 16:39:24
SWEEP_51,dynamic,1.5707963267948966,0.0,0.7853981633974483,1.0,2025-05-02 16:39:24
SWEEP_52,dynamic,1.5707963267948966,0.39269908169872414,0.0,1.0,2025-05-02 16:39:24
SWEEP_53,dynamic,1.5707963267948966,0.39269908169872414,0.19634954084936207,0.9999999999999999,2025-05-02 16:39:24
SWEEP_54,dynamic,1.5707963267948966,0.39269908169872414,0.39269908169872414,1.0,2025-05-02 16:39:24
SWEEP_55,dynamic,1.5707963267948966,0.39269908169872414,0.7853981633974483,1.0,2025-05-02 16:39:24
SWEEP_56,dynamic,1.5707963267948966,0.7853981633974483,0.0,1.0,2025-05-02 16:39:24
SWEEP_57,dynamic,1.5707963267948966,0.7853981633974483,0.19634954084936207,1.0,2025-05-02 16:39:24
SWEEP_58,dynamic,1.5707963267948966,0.7853981633974483,0.39269908169872414,1.0,2025-05-02 16:39:24
SWEEP_59,dynamic,1.5707963267948966,0.7853981633974483,0.7853981633974483,1.0,2025-05-02 16:39:24
SWEEP_60,dynamic,1.5707963267948966,1.5707963267948966,0.0,0.9999999999999998,2025-05-02 16:39:24
SWEEP_61,dynamic,1.5707963267948966,1.5707963267948966,0.19634954084936207,0.9999999999999998,2025-05-02 16:39:24
SWEEP_62,dynamic,1.5707963267948966,1.5707963267948966,0.39269908169872414,0.9999999999999998,2025-05-02 16:39:24
SWEEP_63,dynamic,1.5707963267948966,1.5707963267948966,0.7853981633974483,0.9999999999999998,2025-05-02 16:39:24
